COUNTY,DESCRIPTION,DATE,PATIENT,ENCOUNTER,CODE,VALUE,UNITS,TYPE
Barnstable County,Pain severity - 0-10 verbal numeric rating [Score] - Reported,671,671,671,671,671,671,671
Barnstable County,Diastolic Blood Pressure,536,536,536,536,536,536,536
Barnstable County,Systolic Blood Pressure,536,536,536,536,536,536,536
Barnstable County,Tobacco smoking status NHIS,535,535,535,535,535,0,535
Barnstable County,Body Weight,535,535,535,535,535,535,535
Barnstable County,Heart rate,535,535,535,535,535,535,535
Barnstable County,Body Height,535,535,535,535,535,535,535
Barnstable County,Respiratory rate,535,535,535,535,535,535,535
Barnstable County,Body Mass Index,531,531,531,531,531,531,531
Barnstable County,Creatinine,382,382,382,382,382,382,382
Barnstable County,Potassium,382,382,382,382,382,382,382
Barnstable County,Chloride,382,382,382,382,382,382,382
Barnstable County,Urea Nitrogen,382,382,382,382,382,382,382
Barnstable County,Glucose,382,382,382,382,382,382,382
Barnstable County,Sodium,382,382,382,382,382,382,382
Barnstable County,Carbon Dioxide,382,382,382,382,382,382,382
Barnstable County,Calcium,382,382,382,382,382,382,382
Barnstable County,DALY,300,300,0,300,300,300,300
Barnstable County,QALY,300,300,0,300,300,300,300
Barnstable County,QOLS,300,300,0,300,300,300,300
Barnstable County,Total Cholesterol,295,295,295,295,295,295,295
Barnstable County,Low Density Lipoprotein Cholesterol,295,295,295,295,295,295,295
Barnstable County,High Density Lipoprotein Cholesterol,295,295,295,295,295,295,295
Barnstable County,Triglycerides,295,295,295,295,295,295,295
Barnstable County,Hemoglobin A1c/Hemoglobin.total in Blood,259,259,259,259,259,259,259
Barnstable County,Microalbumin Creatinine Ratio,148,148,148,148,148,148,148
Barnstable County,Estimated Glomerular Filtration Rate,148,148,148,148,148,148,148
Barnstable County,MCV [Entitic volume] by Automated count,132,132,132,132,132,132,132
Barnstable County,Platelet mean volume [Entitic volume] in Blood by Automated count,132,132,132,132,132,132,132
Barnstable County,MCH [Entitic mass] by Automated count,132,132,132,132,132,132,132
Barnstable County,Hemoglobin [Mass/volume] in Blood,132,132,132,132,132,132,132
Barnstable County,MCHC [Mass/volume] by Automated count,132,132,132,132,132,132,132
Barnstable County,Platelets [#/volume] in Blood by Automated count,132,132,132,132,132,132,132
Barnstable County,Platelet distribution width [Entitic volume] in Blood by Automated count,132,132,132,132,132,132,132
Barnstable County,Erythrocyte distribution width [Entitic volume] by Automated count,129,129,129,129,129,129,129
Barnstable County,Erythrocytes [#/volume] in Blood by Automated count,129,129,129,129,129,129,129
Barnstable County,Hematocrit [Volume Fraction] of Blood by Automated count,129,129,129,129,129,129,129
Barnstable County,Leukocytes [#/volume] in Blood by Automated count,129,129,129,129,129,129,129
Barnstable County,Glomerular filtration rate/1.73 sq M.predicted,111,111,111,111,111,111,111
Barnstable County,Protein [Mass/volume] in Serum or Plasma,109,109,109,109,109,109,109
Barnstable County,Albumin [Mass/volume] in Serum or Plasma,109,109,109,109,109,109,109
Barnstable County,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,109,109,109,109,109,109,109
Barnstable County,Bilirubin.total [Mass/volume] in Serum or Plasma,109,109,109,109,109,109,109
Barnstable County,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,109,109,109,109,109,109,109
Barnstable County,Globulin [Mass/volume] in Serum by calculation,109,109,109,109,109,109,109
Barnstable County,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,109,109,109,109,109,109,109
Barnstable County,Body mass index (BMI) [Percentile] Per age and gender,79,79,79,79,79,79,79
Barnstable County,FEV1/FVC,35,35,35,35,35,35,35
Barnstable County,Body temperature,34,34,34,34,34,34,34
Barnstable County,Leukocyte esterase [Presence] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Appearance of Urine,27,27,27,27,27,27,27
Barnstable County,Glucose [Presence] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Hemoglobin [Presence] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Odor of Urine,27,27,27,27,27,27,27
Barnstable County,Nitrite [Presence] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Ketones [Mass/volume] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Ketones [Presence] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Protein [Mass/volume] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Glucose [Mass/volume] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Protein [Presence] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Specific gravity of Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Color of Urine,27,27,27,27,27,27,27
Barnstable County,Bilirubin.total [Mass/volume] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Bilirubin.total [Presence] in Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,pH of Urine by Test strip,27,27,27,27,27,27,27
Barnstable County,Clarity of Urine,27,27,27,27,27,27,27
Barnstable County,Left ventricular Ejection fraction,26,26,26,26,26,26,26
Barnstable County,Total score [MMSE],15,15,15,15,15,15,15
Barnstable County,Prostate specific Ag [Mass/volume] in Serum or Plasma,9,9,9,9,9,9,9
Barnstable County,Physical findings of Prostate,9,9,9,9,9,9,9
Barnstable County,Oxygen saturation in Arterial blood,7,7,7,7,7,7,7
Barnstable County,NT-proBNP,7,7,7,7,7,7,7
Barnstable County,Hemoglobin.gastrointestinal [Presence] in Stool by Immunologic method,5,5,5,5,5,5,5
Barnstable County,Polyp size greatest dimension by CAP cancer protocols,5,5,5,5,5,5,5
Barnstable County,Weight-for-length Per age and sex,4,4,4,4,4,4,4
Barnstable County,Head Occipital-frontal circumference,4,4,4,4,4,4,4
Barnstable County,RBC Auto (Bld) [#/Vol],3,3,3,3,3,3,3
Barnstable County,RDW - Erythrocyte distribution width Auto (RBC) [Entitic vol],3,3,3,3,3,3,3
Barnstable County,WBC Auto (Bld) [#/Vol],3,3,3,3,3,3,3
Barnstable County,Hematocrit [Volume Fraction] of Blood,3,3,3,3,3,3,3
Barnstable County,US Guidance for biopsy of Prostate,3,3,3,3,3,3,3
Barnstable County,DXA [T-score] Bone density,2,2,2,2,2,2,2
Barnstable County,Cladosporium herbarum IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Egg white IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Cow milk IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,American house dust mite IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Cat dander IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Cause of Death [US Standard Certificate of Death],1,1,1,1,1,0,1
Barnstable County,Codfish IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Common Ragweed IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Wheat IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Walnut IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Soybean IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Shrimp IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,White oak IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Latex IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Honey bee IgE Ab in Serum,1,1,1,1,1,1,1
Barnstable County,Peanut IgE Ab in Serum,1,1,1,1,1,1,1
Berkshire County,Pain severity - 0-10 verbal numeric rating [Score] - Reported,265,265,265,265,265,265,265
Berkshire County,Systolic Blood Pressure,251,251,251,251,251,251,251
Berkshire County,Diastolic Blood Pressure,251,251,251,251,251,251,251
Berkshire County,Heart rate,250,250,250,250,250,250,250
Berkshire County,Tobacco smoking status NHIS,250,250,250,250,250,0,250
Berkshire County,Respiratory rate,250,250,250,250,250,250,250
Berkshire County,Body Weight,250,250,250,250,250,250,250
Berkshire County,Body Height,250,250,250,250,250,250,250
Berkshire County,Body Mass Index,216,216,216,216,216,216,216
Berkshire County,QOLS,175,175,0,175,175,175,175
Berkshire County,QALY,175,175,0,175,175,175,175
Berkshire County,DALY,175,175,0,175,175,175,175
Berkshire County,Calcium,101,101,101,101,101,101,101
Berkshire County,Carbon Dioxide,101,101,101,101,101,101,101
Berkshire County,Sodium,101,101,101,101,101,101,101
Berkshire County,Urea Nitrogen,101,101,101,101,101,101,101
Berkshire County,Chloride,101,101,101,101,101,101,101
Berkshire County,Creatinine,101,101,101,101,101,101,101
